step,K,U,E
1850,1.2740874347808326,-2.5611292114548148,-1.2870417766739821
1860,1.2531230565471367,-2.540162570369268,-1.287039513822131
1870,1.235554226568984,-2.5225920089704195,-1.2870377824014354
1880,1.2225404669207887,-2.509577058893128,-1.2870365919723392
1890,1.214851997934462,-2.501887921266075,-1.2870359233316129
1900,1.212910331198719,-2.499946087578426,-1.2870357563797068
1910,1.2168196403112304,-2.5038557255058023,-1.287036085194572
1920,1.2263754292141795,-2.513412350892484,-1.2870369216783046
1930,1.2410472822265348,-2.5280855705527303,-1.2870382883261955
1940,1.25994207428397,-2.546982273351062,-1.287040199067092
1950,1.2817649019736228,-2.568807529060333,-1.2870426270867101
1960,1.3048075797640533,-2.5918530423848445,-1.2870454626207912
1970,1.3270051616583924,-2.6140536353072537,-1.2870484736488612
1980,1.3461000708122022,-2.633151366247816,-1.2870512954356137
1990,1.359928380482413,-2.6469818596180197,-1.2870534791356067
2000,1.366789166939481,-2.6538437752869593,-1.2870546083474783
